year,name,Filings,Evictions
2014,t3025201,24,11
2014,t3025401,15,3
2014,t3025403,20,8
2014,t3025601,14,2
2014,t3025605,14,1
2014,t3025906,22,8
2014,t3026006,11,6
2014,t3026007,13,3
2014,t3026015,15,4
2014,t3026019,13,8
2014,t3026020,11,3
2014,t3026104,23,4
2014,t3026207,23,7
2014,t3026301,14,9
2014,t3026402,20,8
2014,t3026505,16,10
2014,t3026507,13,9
2014,t3026508,11,4
2014,t3026510,10,2
2014,t3026511,21,5
2014,t3026512,23,4
2014,t3026514,65,26
2014,t3026606,11,2
2014,t3026611,15,5
2014,t3026612,23,6
2014,t3026702,14,6
2014,t3026714,13,5
2014,t3026807,62,24
2014,t3026809,131,43
2014,t3026810,93,42
2014,t3026811,31,10
2014,t3026812,17,4
2014,t3026814,20,4
2014,t3026815,22,6
2014,t3026816,29,4
2014,t3026818,21,6
2014,t3026819,175,80
2014,t3026820,17,4
2014,t3026822,16,7
2014,t3026903,11,2
2014,t3026906,14,1
2014,t3026907,24,7
2014,t3026910,19,3
2014,t3027001,10,6
2014,t3027002,15,4
2014,t3027102,23,4
2014,t3027203,10,3
2014,t3027501,14,5
2014,t3027602,11,5
2014,t3027700,11,5
2014,t3100200,59,24
2014,t3100400,59,26
2014,t3100500,16,3
2014,t3100700,40,22
2014,t3100800,60,30
2014,t3100900,96,47
2014,t3101300,23,6
2014,t3101600,66,30
2014,t3101800,18,5
2014,t3101900,28,9
2014,t3102000,47,18
2014,t3102100,63,35
2014,t3102300,54,27
2014,t3102500,22,6
2014,t3102600,25,10
2014,t3102800,54,20
2014,t3102900,27,13
2014,t3103100,29,9
2014,t3103400,33,18
2014,t3103700,18,10
2014,t3104000,12,4
2014,t3104100,36,17
2014,t3104400,16,4
2014,t3104800,34,14
2014,t3104900,12,8
2014,t3105204,39,22
2014,t3105400,33,16
2014,t3105500,10,4
2014,t3105600,41,16
2014,t3105700,101,40
2014,t3106000,30,7
2014,t3106200,27,13
2014,t3106500,14,4
2014,t3106700,31,11
2014,t3106900,20,5
2014,t3107000,39,17
2014,t3107400,11,4
2014,t3108600,16,9
2014,t3108700,20,9
2014,t3108800,45,19
2014,t3109200,16,11
2014,t3109300,19,9
2014,t3109400,12,6
2014,t3109700,13,6
2014,t3110900,12,1
2014,t3122500,13,3
2014,t3125500,14,5
2014,t3125600,11,4
2014,t3125700,88,43
2014,t3125800,57,23
2014,t3125900,28,15
2014,t3126000,40,16
2014,t3126100,47,14
2014,t3126200,12,8
2015,t3000101,10,3
2015,t3000102,52,19
2015,t3000300,21,5
2015,t3001100,10,2
2015,t3001700,16,7
2015,t3002200,35,16
2015,t3002400,17,3
2015,t3002700,27,10
2015,t3003200,10,4
2015,t3003300,40,15
2015,t3003800,17,7
2015,t3005901,35,11
2015,t3005902,34,15
2015,t3006800,52,24
2015,t3007700,38,19
2015,t3007801,27,11
2015,t3008200,44,19
2015,t3008400,11,3
2015,t3008500,34,11
2015,t3009500,16,4
2015,t3009600,11,3
2015,t3011000,10,5
2015,t3012003,25,6
2015,t3012101,38,13
2015,t3012102,10,2
2015,t3020200,47,11
2015,t3020301,16,3
2015,t3020304,12,2
2015,t3020400,29,8
2015,t3020500,20,4
2015,t3020700,13,2
2015,t3020804,22,6
2015,t3020902,12,5
2015,t3021001,25,9
2015,t3021200,16,6
2015,t3021300,46,18
2015,t3021400,12,4
2015,t3021501,27,9
2015,t3021502,30,12
2015,t3021504,16,5
2015,t3021505,26,5
2015,t3021602,11,2
2015,t3022101,23,8
2015,t3022102,12,6
2015,t3022302,27,14
2015,t3022400,22,9
2015,t3022700,14,4
2015,t3022901,13,5
2015,t3023000,27,9
2015,t3023200,55,19
2015,t3023300,39,14
2015,t3023400,31,8
2015,t3024003,15,3
2015,t3024400,19,9
2015,t3024802,29,10
2015,t3024903,19,5
2015,t3025100,15,5
2015,t3025201,18,4
2015,t3025302,11,3
2015,t3025401,13,5
2015,t3025403,12,5
